时间,2月2日,,,,,,,,,,,,,,,,,,,,,
省份,黑龙江省,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,118,重症,15,危重,-1,死亡,2,出院,2,,,,,,,,,,,,,
确诊病例中,哈尔滨市,45,齐齐哈尔市,3,牡丹江市,8,佳木斯市,11,大庆市,11,鸡西市,6,双鸭山市,7,七台河市,7,鹤岗市,1,黑河市,1,绥化市,16,大兴安岭地区,2例
重症病例中,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,绥化市,2,,,,,,,,,,,,,,,,,,,,
出院病例中,哈尔滨市,2,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,4089,解除医学观察,1329,正在接受医学观察,2595,疑似病例,163,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,https://www.fx168.com/fx168_t/2002/3590945.shtml,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,



