时间,2月2日,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,湖南省,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,521,重症,58,危重,47,死亡,0,出院,16,,,,,,,,,,,,,,,,,,,
确诊病例中,长沙市,125,衡阳市,32,株洲市,26,湘潭市,19,邵阳市,51,岳阳市,70,常德市,45,张家界市,3,益阳市,30,郴州市,21,永州市,26,怀化市,32,娄底市,35,湘西自治州,6
重症病例中,长沙市,12,衡阳市,1,株洲市,5,湘潭市,1,邵阳市,6,岳阳市,2,常德市,4,益阳市,3,永州市,3,怀化市,8,娄底市,1,湘西自治州,1,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,长沙市,2,衡阳市,3,株洲市,1,湘潭市,3,邵阳市,1,郴州市,1,永州市,2,怀化市,1,娄底市,1,湘西自治州,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,11593,解除医学观察,2274,正在接受医学观察,9319,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://society.people.com.cn/n1/2020/0203/c1008-31568361.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
