时间,2月2日,,,,,,,,,
省份,湖北省,,,,,,,,,
累计确诊病例,11177,重症,1223,危重,478,死亡,350,出院,295,
确诊病例中,武汉市,5142,黄石市,334,十堰市,256,襄阳市,548,宜昌市,392,荆州市,499,荆门市,345,鄂州市,306,孝感市,918,黄冈市,1246,咸宁市,296,随州市,458,恩施州,111,仙桃市,169,天门市,115,潜江市,35,神农架林区,7
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,武汉市,265,黄石市,2,宜昌市,1,荆州市,6,荆门市,11,鄂州市,15,孝感市,14,黄冈市,17,随州市,5,仙桃市,3,天门市,10,潜江市,1
出院病例中,
累计追踪密切接触者,56088,解除医学观察,-1,正在接受医学观察,48171,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,https://baijiahao.baidu.com/s?id=1657482114176098188&wfr=spider&for=pc,,,,,,,,,
原始数据链接2,,,,,,,,,,
