时间,2月2日,,,,,,,,,,,,,,,,,,,,,
省份,河北,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,113,重症,12,危重,0,死亡,1,出院,3,,,,,,,,,,,,,
确诊病例中,沧州市,19,石家庄市,16,廊坊市,12,保定市,13,张家口市,9,邯郸市,11,邢台市,14,衡水市,4,唐山市,11,承德市,2,秦皇岛,2
重症病例中,唐山市,2,石家庄市,2,邢台市,2,邯郸市,1,廊坊市,1,张家口市,2,承德市,1,沧州市,1,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,沧州市,1,,,,,,,,,,,,,,,,,,,,
出院病例中,保定市,2,廊坊市,1,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,3796,解除医学观察,501,正在接受医学观察,2797,疑似病例,108,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://www.hebwsjs.gov.cn/index.do?id=396405&templet=content&cid=14,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
备注：,,,,,,,,,,
1. 把实际的数值填入到？的地方，没有相关的数据填0,,,,,,,,,,
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替,,,,,,,,,,
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，重症、危重、死亡、出院等没有详情的数据时该行不可删除,,,,,,,,,,
4. 把原文链接放到第15行起，有多个链接放多行,,,,,,,,,,
5. 各自治区、特区用简称代替全称，包括：新疆、西藏、内蒙古、宁夏、广西、香港、澳门,,,,,,,,,,
6. 2020-02-01起，对于没有找到的第3、9行数据，用-1代替空格，包括：重症、危重、死亡、出院、密切接触者、解除医学观察、正在观察、疑似病例人数,,,,,,,,,,
